filename,expected,expected_category,expected_niche,expected_sub_niche,markets,platforms,note,url
d001_shawn-mendes.png,,,,,US,etsy,brand: Shawn Mendes,https://d1ud88wu9m1k4s.cloudfront.net/design/2026/08/01/A36035_8ylGXtPEw415idkmGDz3jdMeH_1785554793347.png
d002_black-sabbath.png,,,,,US,etsy,brand: Black Sabbath,https://d1ud88wu9m1k4s.cloudfront.net/design/2026/08/01/A27567_Os0ywDEwn0Kwt33lyUFz9XzHd_1785565487372.png
d003_lil-wayne.png,,,,,US,etsy,brand: Lil Wayne,https://d1ud88wu9m1k4s.cloudfront.net/fulfill/design/2026/08/01/60f79867d4b329505b416dda1bc9c9d4.png
d004_michael-jackson.png,,,,,US,etsy,brand: Michael Jackson,https://d1ud88wu9m1k4s.cloudfront.net/fulfill/design/2026/08/01/b2ae4b57d9edd1a6131573f8e5ae16d6.png
d005_paul-mccartney.png,,,,,US,etsy,brand: Paul McCartney,https://d1ud88wu9m1k4s.cloudfront.net/fulfill/design/2026/08/01/9527d5f782c6b311bc5076e70fd8c816.png
d006_paramore.png,,,,,US,etsy,brand: Paramore,https://d1ud88wu9m1k4s.cloudfront.net/fulfill/design/2026/08/03/f64e53eb356d952a0072ebe1d1de5892.png
d007_lil-wayne.png,,,,,US,etsy,brand: Lil Wayne,https://d1ud88wu9m1k4s.cloudfront.net/design/2025/05/07/A43069_ZwUULXdMgH3jPEVb0iQsLu7Lg_1746582410790.png
d008_sex-pistols.png,,,,,US,etsy,brand: Sex Pistols,https://d1ud88wu9m1k4s.cloudfront.net/fulfill/design/2026/08/03/6b71eccefe72274c1ee16f15811c06d5.png
d009_deftones.png,,,,,US,etsy,brand: Deftones,https://d1ud88wu9m1k4s.cloudfront.net/design/2026/07/21/A43069_1Rw5zNS9FZvQFKJkioC8iLbVl_1784598748540.png
d010_nike-parody-x-snorlax.png,,,,,US,etsy,brand: Nike (parody) x Snorlax | Nike (parody),https://d1ud88wu9m1k4s.cloudfront.net/design/2026/08/03/A24142_d1fdjVz6WCGd8Pmh3ICoRho5P_1785751945210.png
d011_ariana-grande.png,,,,,US,etsy,brand: Ariana Grande,https://d1ud88wu9m1k4s.cloudfront.net/fulfill/design/2026/08/03/d79d422732a990631b509b287b8c9cf5.png
d012_bogey-bros-golf-co.png,,,,,US,etsy,brand: Bogey Bros Golf Co | Bogey Bros,https://d1ud88wu9m1k4s.cloudfront.net/design/2025/09/19/A30392_CxfFSz9yg0mOyyVHQXnlQjTWQ_1758265506148.png
d013_drake.png,,,,,US,etsy,brand: Drake,https://d1ud88wu9m1k4s.cloudfront.net/design/2026/08/04/A9295_Hjq8gSmwMNOdSlMKQbtVtyOnj_1785806809083.png
d014_jjjjound-x-levi-strauss-co.png,,,,,US,etsy,brand: JJJJound x Levi Strauss & Co.,https://d1ud88wu9m1k4s.cloudfront.net/design/2026/08/04/A60898_gKmcksR8ihFJ6C6yipS5EP4ws_1785826021019.png
d015_hardy.png,,,,,US,etsy,brand: Hardy,https://d1ud88wu9m1k4s.cloudfront.net/design/2026/08/04/A9295_D1aMqwIsVbH8sW6PkYsGZxBT2_1785826171757.png
d016_nike.png,,,,,US,etsy,brand: Nike,https://d1ud88wu9m1k4s.cloudfront.net/design/2026/08/04/A30281_O1VRmpK7CnT80QW4maESUuX5W_1785841770589.png
d017_kanye-west.png,,,,,US,etsy,brand: Kanye West,https://d1ud88wu9m1k4s.cloudfront.net/design/2025/11/21/A34372_vTNmmYwQl1DSodwlkkMZBx3Wr_1763660042619.png
